period,session_id,region,device,user_segment,peak_hour,promo_shown,app_open,store_view,cart_add,checkout_start,order_placed,sessions
baseline,ORD-00037,north,ios,new_user,1,1,1,1,1,1,0,1
baseline,ORD-00038,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00039,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00040,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00041,north,android,casual,1,1,1,1,0,0,0,1
baseline,ORD-00042,north,web,power_user,1,0,1,1,0,0,0,1
baseline,ORD-00043,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00044,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00045,north,web,power_user,0,1,1,1,0,0,0,1
baseline,ORD-00046,north,ios,new_user,1,0,1,0,0,0,0,1
baseline,ORD-00047,north,android,casual,1,0,1,0,0,0,0,1
baseline,ORD-00048,north,web,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00049,north,ios,new_user,0,1,1,0,0,0,0,1
baseline,ORD-00050,north,android,casual,0,0,1,0,0,0,0,1
baseline,ORD-00051,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00052,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00053,north,android,casual,0,1,1,1,1,1,1,1
baseline,ORD-00054,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00055,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00056,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00057,north,web,power_user,1,1,1,1,1,1,1,1
baseline,ORD-00058,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00059,north,android,casual,0,0,1,1,1,1,0,1
baseline,ORD-00060,north,web,power_user,0,0,1,1,1,1,0,1
baseline,ORD-00061,north,ios,new_user,1,1,1,1,1,1,0,1
baseline,ORD-00062,north,android,casual,1,0,1,1,1,1,0,1
baseline,ORD-00063,north,web,power_user,0,0,1,1,1,1,0,1
baseline,ORD-00064,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00065,north,android,casual,0,1,1,1,1,1,1,1
baseline,ORD-00066,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00067,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00068,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00069,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00070,north,ios,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00071,north,android,casual,1,0,1,1,1,0,0,1
baseline,ORD-00072,north,web,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00073,north,ios,new_user,0,1,1,1,1,0,0,1
baseline,ORD-00074,north,android,casual,0,0,1,1,1,0,0,1
baseline,ORD-00075,north,web,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00076,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00077,north,android,casual,1,1,1,1,1,1,1,1
baseline,ORD-00078,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00079,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00080,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00081,north,web,power_user,1,1,1,1,1,1,1,1
baseline,ORD-00082,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00083,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00084,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00085,north,ios,new_user,0,1,1,1,1,1,0,1
baseline,ORD-00086,north,android,casual,1,0,1,1,1,1,0,1
baseline,ORD-00087,north,web,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00088,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00089,north,android,casual,0,1,1,1,0,0,0,1
baseline,ORD-00090,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00091,north,ios,new_user,1,0,1,1,0,0,0,1
baseline,ORD-00092,north,android,casual,1,0,1,1,0,0,0,1
baseline,ORD-00093,north,web,power_user,0,1,1,1,0,0,0,1
baseline,ORD-00094,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00095,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00096,north,web,power_user,1,0,1,0,0,0,0,1
baseline,ORD-00097,north,ios,new_user,1,1,1,0,0,0,0,1
baseline,ORD-00098,north,android,casual,0,0,1,0,0,0,0,1
baseline,ORD-00099,north,web,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00100,north,ios,new_user,0,0,1,0,0,0,0,1
baseline,ORD-00101,north,android,casual,1,1,1,1,1,1,1,1
baseline,ORD-00102,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00103,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00104,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00105,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00106,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00107,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00108,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00109,north,ios,new_user,0,1,1,1,1,1,0,1
baseline,ORD-00110,north,android,casual,0,0,1,1,1,1,0,1
baseline,ORD-00111,north,web,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00112,north,ios,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00113,north,android,casual,0,1,1,1,1,1,0,1
baseline,ORD-00114,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00115,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00116,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00117,north,web,power_user,1,1,1,1,1,1,1,1
baseline,ORD-00118,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00119,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00120,north,web,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00121,north,ios,new_user,1,1,1,1,1,0,0,1
baseline,ORD-00122,north,android,casual,1,0,1,1,1,0,0,1
baseline,ORD-00123,north,web,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00124,north,ios,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00125,north,android,casual,0,1,1,1,1,0,0,1
baseline,ORD-00126,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00127,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00128,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00129,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00130,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00131,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00132,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00133,north,ios,new_user,0,1,1,1,1,1,1,1
baseline,ORD-00134,north,android,casual,0,0,1,1,1,1,0,1
baseline,ORD-00135,north,web,power_user,0,0,1,1,1,1,0,1
baseline,ORD-00136,north,ios,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00137,north,android,casual,1,1,1,1,1,1,0,1
baseline,ORD-00138,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00139,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00140,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00141,north,web,power_user,1,1,1,1,0,0,0,1
baseline,ORD-00142,north,ios,new_user,1,0,1,1,0,0,0,1
baseline,ORD-00143,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00144,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00145,north,ios,new_user,0,1,1,1,0,0,0,1
baseline,ORD-00146,north,android,casual,1,0,1,0,0,0,0,1
baseline,ORD-00147,north,web,power_user,1,0,1,0,0,0,0,1
baseline,ORD-00148,north,ios,new_user,0,0,1,0,0,0,0,1
baseline,ORD-00149,north,android,casual,0,1,1,0,0,0,0,1
baseline,ORD-00150,north,web,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00151,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00152,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00153,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00154,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00155,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00156,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00157,north,ios,new_user,1,1,1,1,1,1,1,1
baseline,ORD-00158,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00159,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00160,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00161,north,android,casual,1,1,1,1,1,1,0,1
baseline,ORD-00162,north,web,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00163,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00164,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00165,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00166,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00167,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00168,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00169,north,ios,new_user,0,1,1,1,1,1,1,1
baseline,ORD-00170,north,android,casual,0,0,1,1,1,0,0,1
baseline,ORD-00171,north,web,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00172,north,ios,new_user,1,0,1,1,1,0,0,1
baseline,ORD-00173,north,android,casual,0,1,1,1,1,0,0,1
baseline,ORD-00174,north,web,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00175,north,ios,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00176,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00177,north,web,power_user,1,1,1,1,1,1,1,1
baseline,ORD-00178,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00179,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00180,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00181,north,ios,new_user,1,1,1,1,1,1,1,1
baseline,ORD-00182,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00183,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00184,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00185,north,android,casual,0,1,1,1,1,1,0,1
baseline,ORD-00186,north,web,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00187,north,ios,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00188,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00189,north,web,power_user,0,1,1,1,0,0,0,1
baseline,ORD-00190,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00191,north,android,casual,1,0,1,1,0,0,0,1
baseline,ORD-00192,north,web,power_user,1,0,1,1,0,0,0,1
baseline,ORD-00193,north,ios,new_user,0,1,1,1,0,0,0,1
baseline,ORD-00194,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00195,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00196,north,ios,new_user,1,0,1,0,0,0,0,1
baseline,ORD-00197,north,android,casual,1,1,1,0,0,0,0,1
baseline,ORD-00198,north,web,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00199,north,ios,new_user,0,0,1,0,0,0,0,1
baseline,ORD-00200,north,android,casual,0,0,1,0,0,0,0,1
baseline,ORD-00201,north,web,power_user,1,1,1,1,1,1,1,1
baseline,ORD-00202,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00203,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00204,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00205,north,ios,new_user,0,1,1,1,1,1,1,1
baseline,ORD-00206,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00207,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00208,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00209,north,android,casual,0,1,1,1,1,1,0,1
baseline,ORD-00210,north,web,power_user,0,0,1,1,1,1,0,1
baseline,ORD-00211,north,ios,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00212,north,android,casual,1,0,1,1,1,1,0,1
baseline,ORD-00213,north,web,power_user,0,1,1,1,1,1,0,1
baseline,ORD-00214,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00215,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00216,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00217,north,ios,new_user,1,1,1,1,1,1,1,1
baseline,ORD-00218,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00219,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00220,north,ios,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00221,north,android,casual,1,1,1,1,1,0,0,1
baseline,ORD-00222,north,web,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00223,north,ios,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00224,north,android,casual,0,0,1,1,1,0,0,1
baseline,ORD-00225,north,web,power_user,0,1,1,1,1,0,0,1
baseline,ORD-00226,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00227,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00228,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00229,north,ios,new_user,0,1,1,1,1,1,1,1
baseline,ORD-00230,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00231,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00232,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00233,north,android,casual,0,1,1,1,1,1,1,1
baseline,ORD-00234,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00235,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00236,north,android,casual,1,0,1,1,1,1,0,1
baseline,ORD-00237,north,web,power_user,1,1,1,1,1,1,0,1
baseline,ORD-00238,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00239,north,android,casual,0,0,1,1,0,0,0,1
baseline,ORD-00240,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00241,north,ios,new_user,1,1,1,1,0,0,0,1
baseline,ORD-00242,north,android,casual,1,0,1,1,0,0,0,1
baseline,ORD-00243,north,web,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00244,north,ios,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00245,north,android,casual,0,1,1,1,0,0,0,1
baseline,ORD-00246,north,web,power_user,1,0,1,0,0,0,0,1
baseline,ORD-00247,north,ios,new_user,1,0,1,0,0,0,0,1
baseline,ORD-00248,north,android,casual,0,0,1,0,0,0,0,1
baseline,ORD-00249,north,web,power_user,0,1,1,0,0,0,0,1
baseline,ORD-00250,north,ios,new_user,0,0,1,0,0,0,0,1
baseline,ORD-00251,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00252,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00253,north,ios,new_user,0,1,1,1,1,1,1,1
baseline,ORD-00254,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00255,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00256,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00257,north,android,casual,1,1,1,1,1,1,1,1
baseline,ORD-00258,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00259,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00260,north,android,casual,0,0,1,1,1,1,0,1
baseline,ORD-00261,south,ios,casual,1,1,1,1,1,1,1,1
baseline,ORD-00262,south,android,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00263,south,web,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00264,south,ios,casual,0,0,1,1,1,1,0,1
baseline,ORD-00265,south,android,power_user,0,1,1,1,1,0,0,1
baseline,ORD-00266,south,web,new_user,1,0,1,1,1,0,0,1
baseline,ORD-00267,south,ios,casual,1,0,1,1,1,0,0,1
baseline,ORD-00268,south,android,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00269,south,web,new_user,0,1,1,1,0,0,0,1
baseline,ORD-00270,south,ios,casual,0,0,1,1,0,0,0,1
baseline,ORD-00271,south,android,power_user,1,0,1,1,0,0,0,1
baseline,ORD-00272,south,web,new_user,1,0,1,1,0,0,0,1
baseline,ORD-00273,south,ios,casual,0,1,1,1,0,0,0,1
baseline,ORD-00274,south,android,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00275,south,web,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00276,south,ios,casual,1,0,1,0,0,0,0,1
baseline,ORD-00277,south,android,power_user,1,1,1,0,0,0,0,1
baseline,ORD-00278,south,web,new_user,0,0,1,0,0,0,0,1
baseline,ORD-00279,south,ios,casual,0,0,1,0,0,0,0,1
baseline,ORD-00280,south,android,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00281,south,web,new_user,1,1,1,1,1,1,1,1
baseline,ORD-00282,south,ios,casual,1,0,1,1,1,1,1,1
baseline,ORD-00283,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00284,south,web,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00285,south,ios,casual,0,1,1,1,1,1,1,1
baseline,ORD-00286,south,android,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00287,south,web,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00288,south,ios,casual,0,0,1,1,1,1,0,1
baseline,ORD-00289,south,android,power_user,0,1,1,1,1,1,0,1
baseline,ORD-00290,south,web,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00291,south,ios,casual,1,0,1,1,1,0,0,1
baseline,ORD-00292,south,android,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00293,south,web,new_user,0,1,1,1,1,0,0,1
baseline,ORD-00294,south,ios,casual,0,0,1,1,1,0,0,1
baseline,ORD-00295,south,android,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00296,south,web,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00297,south,ios,casual,1,1,1,1,1,1,1,1
baseline,ORD-00298,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00299,south,web,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00300,south,ios,casual,0,0,1,1,1,1,0,1
baseline,ORD-00301,south,android,power_user,1,1,1,1,1,1,0,1
baseline,ORD-00302,south,web,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00303,south,ios,casual,0,0,1,1,1,1,0,1
baseline,ORD-00304,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00305,south,web,new_user,0,1,1,1,1,1,1,1
baseline,ORD-00306,south,ios,casual,1,0,1,1,1,1,1,1
baseline,ORD-00307,south,android,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00308,south,web,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00309,south,ios,casual,0,1,1,1,1,1,1,1
baseline,ORD-00310,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00311,south,web,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00312,south,ios,casual,1,0,1,1,1,1,0,1
baseline,ORD-00313,south,android,power_user,0,1,1,1,1,1,0,1
baseline,ORD-00314,south,web,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00315,south,ios,casual,0,0,1,1,1,0,0,1
baseline,ORD-00316,south,android,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00317,south,web,new_user,1,1,1,1,1,0,0,1
baseline,ORD-00318,south,ios,casual,0,0,1,1,0,0,0,1
baseline,ORD-00319,south,android,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00320,south,web,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00321,south,ios,casual,1,1,1,1,0,0,0,1
baseline,ORD-00322,south,android,power_user,1,0,1,1,0,0,0,1
baseline,ORD-00323,south,web,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00324,south,ios,casual,0,0,1,1,0,0,0,1
baseline,ORD-00325,south,android,power_user,0,1,1,1,0,0,0,1
baseline,ORD-00326,south,web,new_user,1,0,1,0,0,0,0,1
baseline,ORD-00327,south,ios,casual,1,0,1,0,0,0,0,1
baseline,ORD-00328,south,android,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00329,south,web,new_user,0,1,1,0,0,0,0,1
baseline,ORD-00330,south,ios,casual,0,0,1,0,0,0,0,1
baseline,ORD-00331,south,android,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00332,south,web,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00333,south,ios,casual,0,1,1,1,1,1,1,1
baseline,ORD-00334,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00335,south,web,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00336,south,ios,casual,1,0,1,1,1,1,1,1
baseline,ORD-00337,south,android,power_user,1,1,1,1,1,1,0,1
baseline,ORD-00338,south,web,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00339,south,ios,casual,0,0,1,1,1,1,0,1
baseline,ORD-00340,south,android,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00341,south,web,new_user,1,1,1,1,1,0,0,1
baseline,ORD-00342,south,ios,casual,1,0,1,1,1,0,0,1
baseline,ORD-00343,south,android,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00344,south,web,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00345,south,ios,casual,0,1,1,1,1,0,0,1
baseline,ORD-00346,south,android,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00347,south,web,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00348,south,ios,casual,0,0,1,1,1,1,1,1
baseline,ORD-00349,south,android,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00350,south,web,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00351,south,ios,casual,1,0,1,1,1,1,0,1
baseline,ORD-00352,south,android,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00353,south,web,new_user,0,1,1,1,1,1,0,1
baseline,ORD-00354,south,ios,casual,0,0,1,1,1,1,1,1
baseline,ORD-00355,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00356,south,web,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00357,south,ios,casual,1,1,1,1,1,1,1,1
baseline,ORD-00358,south,android,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00359,south,web,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00360,south,ios,casual,0,0,1,1,1,1,1,1
baseline,ORD-00361,south,android,power_user,1,1,1,1,1,1,1,1
baseline,ORD-00362,south,web,new_user,1,0,1,1,1,1,0,1
baseline,ORD-00363,south,ios,casual,0,0,1,1,1,1,0,1
baseline,ORD-00364,south,android,power_user,0,0,1,1,1,1,0,1
baseline,ORD-00365,south,web,new_user,0,1,1,1,1,0,0,1
baseline,ORD-00366,south,ios,casual,1,0,1,1,1,0,0,1
baseline,ORD-00367,south,android,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00368,south,web,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00369,south,ios,casual,0,1,1,1,0,0,0,1
baseline,ORD-00370,south,android,power_user,0,0,1,1,0,0,0,1
baseline,ORD-00371,south,web,new_user,1,0,1,1,0,0,0,1
baseline,ORD-00372,south,ios,casual,1,0,1,1,0,0,0,1
baseline,ORD-00373,south,android,power_user,0,1,1,1,0,0,0,1
baseline,ORD-00374,south,web,new_user,0,0,1,1,0,0,0,1
baseline,ORD-00375,south,ios,casual,0,0,1,1,0,0,0,1
baseline,ORD-00376,south,android,power_user,1,0,1,0,0,0,0,1
baseline,ORD-00377,south,web,new_user,1,1,1,0,0,0,0,1
baseline,ORD-00378,south,ios,casual,0,0,1,0,0,0,0,1
baseline,ORD-00379,south,android,power_user,0,0,1,0,0,0,0,1
baseline,ORD-00380,south,web,new_user,0,0,1,0,0,0,0,1
baseline,ORD-00381,south,ios,casual,1,1,1,1,1,1,1,1
baseline,ORD-00382,south,android,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00383,south,web,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00384,south,ios,casual,0,0,1,1,1,1,1,1
baseline,ORD-00385,south,android,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00386,south,web,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00387,south,ios,casual,1,0,1,1,1,1,0,1
baseline,ORD-00388,south,android,power_user,0,0,1,1,1,1,0,1
baseline,ORD-00389,south,web,new_user,0,1,1,1,1,1,0,1
baseline,ORD-00390,south,ios,casual,0,0,1,1,1,0,0,1
baseline,ORD-00391,south,android,power_user,1,0,1,1,1,0,0,1
baseline,ORD-00392,south,web,new_user,1,0,1,1,1,0,0,1
baseline,ORD-00393,south,ios,casual,0,1,1,1,1,0,0,1
baseline,ORD-00394,south,android,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00395,south,web,new_user,0,0,1,1,1,0,0,1
baseline,ORD-00396,south,ios,casual,1,0,1,1,1,1,1,1
